VALUE,LOT,YEAR,AREA,LIVING_A,FLOORS ,ROOMS
344.2,9965,1880,2436,1352,2,6
412.6,6590,1945,3108,1976,2,10
330.1,7500,1890,2294,1371,2,8
498.6,13773,1957,5032,2608,1,9
331.5,5000,1910,2370,1438,2,7
337.4,5142,1950,2124,1060,1,6
359.4,5000,1954,3220,1916,2,7
320.4,10000,1950,2208,1200,1,6
333.5,6835,1958,2582,1092,1,5
409.4,5093,1900,4818,2992,2,8
313,5000,1960,2624,1485,1.5,6
344.5,6768,1958,2844,1460,1.5,6
315.5,5000,1889,2196,1290,2,6
575,12288,2004,4616,2378,2,9
326.2,5000,1954,2536,1272,1.5,6
298.2,5000,1940,2129,864,1,7
313.1,6949,1880,2612,1438,1.5,7
344.9,10000,1950,2099,1445,1,7
330.7,5000,1910,2408,1470,2,7
348,9001,1875,2840,1632,2,7
317.5,4450,1920,1400,1232,2,7
330.8,5000,1889,2560,1302,1.5,6
357.8,12255,1944,2631,1275,1.5,6
414.7,12972,1892,3796,2054,1.5,6
318.8,4717,1900,2512,1371,2,7
346.2,5000,1910,2655,1541,2,7
245.1,4142,1880,1892,927,1.5,5
317.4,5000,1910,2596,1244,1.5,7
247.3,4012,1896,1994,1048,1.5,6
320.8,13275,1910,1516,808,1.5,6
328.8,4717,1906,2824,1469,1.5,6
293.6,4289,1910,2286,1436,2,7
280.1,10688,1890,3014,1625,2,7
342.5,4717,1925,2802,1620,2,7
337.2,5000,1920,3112,1906,2,9
336.5,6842,1910,2269,1393,2,6
315.6,6675,1945,2392,1394,1.5,6
296.5,5683,1960,2982,1452,1,6
239.7,5450,1963,2112,960,1,5
318.4,4717,1915,3222,1803,1,7
431.5,6733,1990,2880,1792,2,7
349.8,7242,1910,2496,1460,2,7
344,5683,1940,3136,1870,2,9
358.3,6138,1910,2500,1690,2,7
346.2,11250,1900,2830,1391,1.5,6
490.7,5683,1995,4100,2640,2,6
371.9,7001,1996,2320,1500,2,7
325.3,4717,1910,2592,1572,2,7
340.5,8489,1950,2368,1326,1.5,6
432.5,7139,1996,2340,1500,2,7
334.7,4584,1907,3288,1694,2,7
314.3,7193,1900,2740,1508,2,7
405.5,3867,1996,2431,1560,2,7
326,4262,1960,2090,1300,2,7
285.6,5325,1945,3060,1364,1,5
345.9,8005,1900,2490,1562,2,7
317.3,7234,1910,2289,1440,2,7
277.8,5959,1940,2036,1018,1,5
306.8,7785,1860,2038,1056,1.5,6
265.7,3887,1950,2364,1075,1,6
356.8,5906,1967,2368,2051,1,8
299.9,5401,1991,1800,1800,2,6
287.8,3204,1991,1800,1800,2,6
296,2947,1991,1800,1800,2,6
300.6,4241,1991,1800,1800,2,6
566.3,8249,2007,4390,2708,2,8
286,7655,1910,3013,1318,1.5,7
351.2,10000,1875,2232,1392,2,7
365.1,5058,1910,3362,1763,2,8
330,6330,1940,2644,1386,1.5,6
354.1,4984,1940,2441,1464,2,7
335.8,6111,1964,2262,1740,1,7
345,20000,1900,1754,845,1.5,6
356.4,5967,1942,3442,1836,2,8
379,7940,1900,3894,2436,2,8
352.1,6003,1987,2178,1350,2,7
437.3,7000,1997,2628,1680,2,6
404.2,5488,1940,3780,1992,1.5,8
283.4,4774,1940,3128,1470,1,5
326.4,6029,1940,2620,1265,1.5,6
309.2,5057,1948,2244,1224,1.5,7
332.9,5682,1940,2484,1488,2,7
260.4,3819,1930,2468,1299,1.5,6
339.3,5651,1940,2454,1306,1.5,6
307.9,5005,1928,2078,1369,2,6
346.3,8145,1940,2664,1546,1.5,6
479.1,9642,1999,2952,1872,2,7
335.6,6475,1946,2684,1265,1.5,6
261.5,4175,1940,1536,768,1,4
355.1,5400,1940,2650,1224,1.5,7
356.8,5005,1996,2660,1680,2,6
287.3,3288,1955,2764,1503,1.5,7
331.9,5400,1940,2536,1224,1.5,6
387.1,8238,1968,3972,1922,1,9
307.6,5092,1945,2539,1306,1.5,6
360.9,5400,1950,2508,1440,2,6
466.1,8970,1999,2952,1872,2,7
340,5400,1940,2714,1376,1.5,6
303.9,8200,1934,2608,1304,1,6
303.5,4200,1960,2670,1710,2,10
301.4,6444,1940,2886,1474,1.5,6
339.9,5035,1925,3264,1523,1,6
281.3,3960,1955,2590,1630,2,8
530.1,6227,1999,4013,2359,2,8
310.4,3150,1955,2456,1620,2,7
344.6,8151,1983,4532,2056,1,5
525.1,6257,2001,4124,2494,2,9
285.3,5024,1940,2556,1306,1.5,6
302.3,4200,1930,2272,1352,2,8
243.3,3150,1962,2496,1420,1.5,4
334.9,6012,1910,3185,1911,2,7
327.5,5968,1910,3216,1839,2,7
586.6,8890,2001,4791,2774,2,9
347.3,7355,1920,3516,1980,2,7
267.6,5077,1956,876,876,1,5
274.2,3617,1955,2784,1435,1.5,5
404.6,6253,1959,3077,1989,1,6
339.9,6300,1960,1730,1625,1,7
420.8,7861,1967,4182,2888,1,12
283.5,4200,1930,2488,1484,2,6
620.3,6255,2001,6016,3446,2,10
346.3,4050,1940,2756,1150,1,6
295.07,5131,1945,1840,1486,1.5,6
297.6,3628,1962,2736,1680,2,7
310.7,6001,1969,2124,2074,1,10
442.6,4800,1999,3960,2282,2,6
277.5,4050,1945,2108,1014,1,6
310.6,3639,1955,2784,1421,1.5,7
327.1,6754,1960,2705,1340,1,6
307.5,2100,1989,2244,1400,2,6
243.3,4200,1955,2508,1120,1,6
352.8,6001,1965,1964,1826,1,8
258.6,5460,1950,2188,1080,1,6
295.5,4050,1960,2592,1387,1.5,6
490.7,6011,1999,4368,2483,2,9
330.3,6317,1969,2385,1440,2,6
290.8,6850,1958,2568,1414,1.5,6
350.7,9600,1950,4063,1636,1,9
301.1,6000,1965,2098,1696,1,7
278.7,6400,1974,2161,1633,1,8
